sentenceid,utterance,verb,embpred,embQ,embSubject,embTense,mood_indicative
010509.cha146,eu acho que estás .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010509.cha765,pronto (.) já não há mais „ pois não ?,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010509.cha1180,toma .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010509.cha1367,já não sei se era uma ou se era outra .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010509.cha1420,são (.) têm assim (.) também têm saboneteiras xxx .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010509.cha1548,lá vou eu .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010509.cha2451,"+, Inês (.) queres ir embora (.) e ela qué@q (.) e eu disse assim",DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010509.cha2473,tu disseste embora@q ao pai „ foi (.) foi ?,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010509.cha2644,são os únicos que lhe faltam .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010509.cha3013,já está .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010509.cha4408,+< põe música .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010509.cha5241,vamos brincar com as argolas (.) olha (.) vamos .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010530.cha194,+< ela está a falar tão baixinho .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010530.cha279,Inês (.) espera (.) ainda tens na boca .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010530.cha615,acho eu (.) &=ri .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010530.cha956,Inês (.) mastiga bem .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010530.cha1955,vá (.) Inês (.) come .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010530.cha2632,mas agora o vir a pé de lá até aqui é fácil (.) desta vez apanhei o [/] o caminho certo (.) da outra vez perdi me um bocado .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010530.cha3021,vamos brincar com os ursos „ vamos ?,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010530.cha3057,pões os ursos na casinha .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010530.cha4065,+< diz aquilo que diz .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010530.cha4255,tens de tirar estas (.) pronto .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010530.cha5642,+< nunca mais me lembrei .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010530.cha6120,não está a chegar lá .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010706.cha611,pois é (.) tu xxx [//] (.) andas te a rebolar .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010706.cha833,anda mostrar me as tuas amigas (.) as tuas bonequinhas .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010706.cha1053,agora cantas tu .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010706.cha1700,estava à espera de cão .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010706.cha2239,mamã (.) mamã (.) ti(r)a !,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010706.cha2494,chama !,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010706.cha3010,não há problema „ pois não ?,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010706.cha5428,desculpa lá (.) mas com o cabelo comprido „ pois não ?,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010706.cha5742,diz lá fruta@q .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010706.cha5888,espera .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010706.cha6064,isso é para os grandes .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010706.cha7057,deixa ver .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010706.cha7453,vou buscar a fruta .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010706.cha7566,mas ela quase não comeu peixe .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010806.cha131,não está cá .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010806.cha495,+< diz lá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010806.cha550,+< faz lá .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010806.cha1016,+< está preparado para o próximo .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010806.cha2057,diz assim (.) toma (.) toma .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010806.cha2081,diz (.) toma a papa .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010806.cha2104,já não há mais .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010806.cha2500,está aqui !,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010806.cha3363,ainda não cantaste os patinhos Inês (.) tu sabes ?,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010806.cha3866,bem (.) tu realmente estás mesmo aí pronta (.) é disparares para o hospital .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010806.cha5071,estás a andar à [/] (.) à Teletubbie .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010806.cha5491,já não vou .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010806.cha5893,foste espreitar (.) o saco da mãe .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010806.cha6525,o [/] o rapaz (.) é (.) cinco meses mais velho que ela .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010908.cha788,olha (.) põe o dedo .,IMPERATIVE,TRUE,FALSE,FALSE,FALSE,TRUE
010908.cha1266,olha (.) tem um balão .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010908.cha1394,+< tu sabes que não (.) porque me emprestaram tudo .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010908.cha1468,+< pronto (.) e ela também não é assim enorme (.) porque há miúdos +...,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010908.cha2578,+< pois (.) já sei .,DECLARATIVE,TRUE,FALSE,FALSE,TRUE,TRUE
010908.cha3170,o meu pai diz que não .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
010908.cha3236,<com do> [//] com cinco (.) não (.) com cinco anos (.) fazia o meu irmão o Sandokan (.) já (.) na perfeição .,DECLARATIVE,TRUE,FALSE,TRUE,TRUE,TRUE
